ParticipantName	GazeEventDuration	GazeEventDuration	GazeEventDuration	GazePointX (MCSpx)	GazePointY (MCSpx)	MediaName
P03h	150	150	150	547.0	162.0	http://www.fiit.stuba.sk/
P03h	150	150	150	521.0	161.0	http://www.fiit.stuba.sk/
P03h	150	150	150	526.0	203.0	http://www.fiit.stuba.sk/
P03h	150	150	150	540.0	196.0	http://www.fiit.stuba.sk/
P03h	150	150	150	538.0	158.0	http://www.fiit.stuba.sk/
P03h	150	150	150	547.0	139.0	http://www.fiit.stuba.sk/
P03h	150	150	150	536.0	173.0	http://www.fiit.stuba.sk/
P03h	150	150	150	537.0	180.0	http://www.fiit.stuba.sk/
P03h	117	117	117	542.0	220.0	http://www.fiit.stuba.sk/
P03h	117	117	117	554.0	214.0	http://www.fiit.stuba.sk/
P03h	117	117	117	535.0	234.0	http://www.fiit.stuba.sk/
P03h	117	117	117	523.0	226.0	http://www.fiit.stuba.sk/
P03h	117	117	117	552.0	224.0	http://www.fiit.stuba.sk/
P03h	117	117	117	533.0	220.0	http://www.fiit.stuba.sk/
P03h	117	117	117	534.0	219.0	http://www.fiit.stuba.sk/
P03h	150	150	150	534.0	193.0	http://www.fiit.stuba.sk/
P03h	150	150	150	531.0	185.0	http://www.fiit.stuba.sk/
P03h	150	150	150	543.0	203.0	http://www.fiit.stuba.sk/
P03h	150	150	150	521.0	184.0	http://www.fiit.stuba.sk/
P03h	150	150	150	538.0	196.0	http://www.fiit.stuba.sk/
P03h	150	150	150	543.0	187.0	http://www.fiit.stuba.sk/
P03h	150	150	150	541.0	189.0	http://www.fiit.stuba.sk/
P03h	150	150	150	545.0	170.0	http://www.fiit.stuba.sk/
P03h	150	150	150	564.0	180.0	http://www.fiit.stuba.sk/
P03h	200	200	200	569.0	151.0	http://www.fiit.stuba.sk/
P03h	200	200	200	566.0	170.0	http://www.fiit.stuba.sk/
P03h	200	200	200	597.0	169.0	http://www.fiit.stuba.sk/
P03h	200	200	200	568.0	216.0	http://www.fiit.stuba.sk/
P03h	200	200	200	575.0	194.0	http://www.fiit.stuba.sk/
P03h	200	200	200	582.0	158.0	http://www.fiit.stuba.sk/
P03h	200	200	200	567.0	154.0	http://www.fiit.stuba.sk/
P03h	200	200	200	576.0	78.0	http://www.fiit.stuba.sk/
P03h	200	200	200	586.0	157.0	http://www.fiit.stuba.sk/
P03h	200	200	200	583.0	170.0	http://www.fiit.stuba.sk/
P03h	200	200	200	573.0	153.0	http://www.fiit.stuba.sk/
P03h	200	200	200	571.0	169.0	http://www.fiit.stuba.sk/
P03h	167	167	167	513.0	199.0	http://www.fiit.stuba.sk/
P03h	167	167	167	516.0	157.0	http://www.fiit.stuba.sk/
P03h	167	167	167	510.0	211.0	http://www.fiit.stuba.sk/
P03h	167	167	167	519.0	190.0	http://www.fiit.stuba.sk/
P03h	167	167	167	504.0	188.0	http://www.fiit.stuba.sk/
P03h	167	167	167	507.0	190.0	http://www.fiit.stuba.sk/
P03h	167	167	167	509.0	171.0	http://www.fiit.stuba.sk/
P03h	167	167	167	518.0	173.0	http://www.fiit.stuba.sk/
P03h	167	167	167	524.0	178.0	http://www.fiit.stuba.sk/
P03h	167	167	167	505.0	171.0	http://www.fiit.stuba.sk/
